ID,label,relationship
Anni Albers,"designer, university teacher, textile artist, lithographer, textile designer, jewelry designer, painter, author, educator",faculty
Josef Albers,"painter, university teacher, photographer, designer, printmaker, sculptor, glass artist, educator, artist",faculty
Leo Amino,"sculptor, designer, draftsperson",faculty
Hazel Larsen Archer,"photographer, artist",faculty
Robert Shillingford Babcock,politician,faculty
Seymour Barab,"composer, cellist",faculty
Eric Bentley,"playwright, university teacher, translator, theatre critic, writer, singer, journalist, film screenwriter, television writer",faculty
Ilya Bolotowsky,"painter, draftsperson",faculty
Josef Breitenbach,"photographer, artist",faculty
Carol Brice,opera singer,faculty
Will Burtin,"designer, graphic designer, university teacher",faculty
John Cage,"composer, writer, poet, university teacher, musicologist, philosopher, painter, music theorist, illustrator, draftsperson, mycologist, visual artist, author, graphic artist, conceptual artist, musician",faculty
Mary Callery,"artist, printmaker, sculptor, art dealer",faculty
Frederic Cohen,"composer, university teacher, conductor",faculty
Merce Cunningham,"ballet dancer, choreographer, author, draftsperson, dancer",faculty
Victor D'Amico,"teaching artist, educator",faculty
Edward Dahlberg,"novelist, writer, university teacher, prose writer, essayist",faculty
Willem de Kooning,"painter, sculptor, university teacher, designer, draftsperson, printmaker, painter and varnisher, teacher",faculty
Max Dehn,"mathematician, historian of mathematics, topologist, university teacher",faculty
Mark Fax,"composer, music educator",faculty
Lyonel Feininger,"painter, artist, photographer, illustrator, comics artist, teacher, graphic artist, draftsperson, caricaturist, composer",faculty
Joseph Fiore,painter,faculty
Buckminster Fuller,"architect, inventor, writer, diarist, university teacher, scientist, poet, artist, visual artist, engineer, philosopher, designer, mathematician",faculty
Paul Goodman,"writer, poet, psychotherapist, novelist, sociologist, literary critic, LGBTQ rights activist, political scientist, philosopher, pedagogue, university teacher",faculty
Mary Molly Gregory,artist,faculty
Walter Gropius,"architect, pedagogue, urban planner, designer, teacher",faculty
Trude Guermonprez,"textile artist, textile designer, weaver, university teacher",faculty
Fritz Johann Hansgirg,chemist,faculty
Lou Harrison,"composer, Esperantist, music critic, journalist, professor",faculty
Roland Hayes,"composer, opera singer",faculty
Fannie Hillsmith,"painter, printmaker, artist",faculty
Heinrich Jalowetz,"composer, conductor, musicologist",faculty
Karen Karnes,"painter, artist",faculty
Franz Kline,"painter, artist, university teacher, draftsperson",faculty
A. Lawrence Kocher,"architect, designer, editor, university teacher",faculty
Jacob Lawrence,"painter, draftsperson, printmaker, illustrator",faculty
Paul Leser,"agrarian historian, university teacher",faculty
Albert William Levi,"philosopher, university teacher, writer",faculty
Leo Lionni,"writer, graphic designer, illustrator, painter, children's writer, designer",faculty
Herbert Adolphus Miller,"sociologist, university teacher",faculty
Robert Motherwell,"painter, printmaker, lithographer, collagist, draftsperson, serigrapher, editor",faculty
Marianne Preger-Simon,"psychotherapist, dancer, writer",faculty
John Andrew Rice,"writer, educator",faculty
M. C. Richards,"ceramicist, poet, writer",faculty
Concetta Scaravaglione,"sculptor, artist",faculty
Xanti Schawinsky,"designer, photographer, painter, graphic artist, scenographer, graphic designer",faculty
Charlotte Schlesinger,composer,faculty
Roger Sessions,"classical composer, musicologist, music theorist, university teacher, music critic, composer",faculty
David Tudor,"pianist, composer, organist, pedagogue",faculty
Robert C. Turner,"ceramicist, artist",faculty
Jean Varda,painter,faculty
Peter Voulkos,"ceramicist, painter, sculptor, artist",faculty
David Weinrib,"sculptor, printmaker",faculty
Stefan Wolpe,"composer, university teacher",faculty
