,,employer
,Anni Albers,Black Mountain College
,Josef Albers,Black Mountain College
,Leo Amino,Black Mountain College
,Hazel Larsen Archer,Black Mountain College
,Robert S. Babcock,Black Mountain College
,Seymour Barab,Black Mountain College
,Eric Bentley,Black Mountain College
,Ilya Bolotowsky,Black Mountain College
,Josef Breitenbach,Black Mountain College
,Carol Brice,Black Mountain College
,Will Burtin,Black Mountain College
,John Cage,Black Mountain College
,Mary Callery,Black Mountain College
,Fritz Cohen,Black Mountain College
,Merce Cunningham,Black Mountain College
,Victor D'Amico,Black Mountain College
,Edward Dahlberg,Black Mountain College
,Willem de Kooning,Black Mountain College
,Max Dehn,Black Mountain College
,Mark Fax,Black Mountain College
,Lyonel Feininger,Black Mountain College
,Joseph Fiore,Black Mountain College
,Buckminster Fuller,Black Mountain College
,Paul Goodman,Black Mountain College
,Molly Gregory,Black Mountain College
,Walter Gropius,Black Mountain College
,Trude Guermonprez,Black Mountain College
,Fritz Johann Hansgirg,Black Mountain College
,Lou Harrison,Black Mountain College
,Roland Hayes,Black Mountain College
,Fannie Hillsmith,Black Mountain College
,Heinrich Jalowetz,Black Mountain College
,Karen Karnes,Black Mountain College
,Franz Kline,Black Mountain College
,A. Lawrence Kocher,Black Mountain College
,Jacob Lawrence,Black Mountain College
,Paul Leser,Black Mountain College
,Albert William Levi,Black Mountain College
,Leo Lionni,Black Mountain College
,Herbert Adolphus Miller,Black Mountain College
,Robert Motherwell,Black Mountain College
,Marianne Preger-Simon,Black Mountain College
,Natasha Goldowski Renner,Black Mountain College
,John Andrew Rice,Black Mountain College
,M. C. Richards,Black Mountain College
,Concetta Scaravaglione,Black Mountain College
,Xanti Schawinsky,Black Mountain College
,Charlotte Schlesinger,Black Mountain College
,Roger Sessions,Black Mountain College
,David Tudor,Black Mountain College
,Robert Chapman Turner,Black Mountain College
,Jean Varda,Black Mountain College
,Peter Voulkos,Black Mountain College
,David Weinrib,Black Mountain College
,Stefan Wolpe,Black Mountain College
