item,itemLabel
http://www.wikidata.org/entity/Q41136,Arthur Penn
http://www.wikidata.org/entity/Q85669,Harry Seidler
http://www.wikidata.org/entity/Q159566,Cy Twombly
http://www.wikidata.org/entity/Q164358,Robert Rauschenberg
http://www.wikidata.org/entity/Q178040,Ray Johnson
http://www.wikidata.org/entity/Q363706,Charles Perrow
http://www.wikidata.org/entity/Q449536,Elaine de Kooning
http://www.wikidata.org/entity/Q468760,John Chamberlain
http://www.wikidata.org/entity/Q527001,Kenneth Noland
http://www.wikidata.org/entity/Q918620,Robert Creeley
http://www.wikidata.org/entity/Q931065,Kenneth Snelson
http://www.wikidata.org/entity/Q945929,James Leo Herlihy
http://www.wikidata.org/entity/Q951321,Robert De Niro Sr.
http://www.wikidata.org/entity/Q964391,Robert Duncan
http://www.wikidata.org/entity/Q1246260,Dorothea Rockburne
http://www.wikidata.org/entity/Q1702153,John Wieners
http://www.wikidata.org/entity/Q1835608,Jane Mayhall
http://www.wikidata.org/entity/Q2513247,Vera Williams
http://www.wikidata.org/entity/Q2896550,Erik Christian Haugaard
http://www.wikidata.org/entity/Q2908768,Richard Lippold
http://www.wikidata.org/entity/Q3207670,Francine du Plessix Gray
http://www.wikidata.org/entity/Q3560352,Viola Farber
http://www.wikidata.org/entity/Q4994350,Harriet Sohmers Zwerling
http://www.wikidata.org/entity/Q5169401,Cora Kelley Ward
http://www.wikidata.org/entity/Q5235545,David Jacques Way
http://www.wikidata.org/entity/Q5334756,Ed Dorn
http://www.wikidata.org/entity/Q5447170,Fielding Dawson
http://www.wikidata.org/entity/Q5665527,Harrison Begay
http://www.wikidata.org/entity/Q6075074,Irwin Kremen
http://www.wikidata.org/entity/Q6153455,Janet Leach
http://www.wikidata.org/entity/Q6213806,Joel Oppenheimer
http://www.wikidata.org/entity/Q6253955,John R. P. French
http://www.wikidata.org/entity/Q6274797,Jonathan Williams
http://www.wikidata.org/entity/Q6530829,Leslie George Katz
http://www.wikidata.org/entity/Q6794758,Max Finstein
http://www.wikidata.org/entity/Q6834020,Michael Rumaker
http://www.wikidata.org/entity/Q7176070,Peter Nemenyi
http://www.wikidata.org/entity/Q7381485,Russell Edson
http://www.wikidata.org/entity/Q7382874,Ruth Asawa
http://www.wikidata.org/entity/Q7597939,Stan VanDerBeek
http://www.wikidata.org/entity/Q7648521,Susan Weil
http://www.wikidata.org/entity/Q15993527,Raymond P. Spillenger
http://www.wikidata.org/entity/Q16092045,Deborah Sussman
http://www.wikidata.org/entity/Q19282181,Lorrie Goulet
http://www.wikidata.org/entity/Q19667099,Clara Porset
http://www.wikidata.org/entity/Q19754120,Suzi Gablik
http://www.wikidata.org/entity/Q20731253,James Bishop
http://www.wikidata.org/entity/Q20984397,Hazel Larsen Archer
http://www.wikidata.org/entity/Q20984608,Alma Stone Williams
http://www.wikidata.org/entity/Q21995955,V. V. Rankine
http://www.wikidata.org/entity/Q22958514,Basil King
http://www.wikidata.org/entity/Q23806361,Elizabeth Jennerjahn
http://www.wikidata.org/entity/Q23892587,Joseph Fiore
http://www.wikidata.org/entity/Q26270071,Oli Sihvonen
http://www.wikidata.org/entity/Q28966282,Mary Parks Washington
http://www.wikidata.org/entity/Q28970607,Lore Kadden Lindenfeld
http://www.wikidata.org/entity/Q43137365,Sewell Sillman
http://www.wikidata.org/entity/Q60444866,Joan Potter Loveless
http://www.wikidata.org/entity/Q60830025,John Stix
http://www.wikidata.org/entity/Q67151942,Hella Hammid
http://www.wikidata.org/entity/Q88026200,Sylvia Ashby
http://www.wikidata.org/entity/Q88104666,Evelyn Anselevicius
http://www.wikidata.org/entity/Q106477167,Zola Marcus
http://www.wikidata.org/entity/Q112088840,Sheila Marbain
http://www.wikidata.org/entity/Q112089656,Jo Sandman
